Fighter Name,Status,Weight Class
Kennedy Nzechukwu,None,"light heavyweight, heavyweight"
Guram Kutateladze,None,lightweight
Zhang Mingyang,None,light heavyweight
Julio Arce,None,featherweight
Davey Grant,None,bantamweight
Gerald Meerschaert,None,middleweight
Alonzo Menifield,None,light heavyweight
Cody Gibson,None,bantamweight
Daniel Rodriguez,None,"welterweight, middleweight"
William Gomis,None,featherweight
Rafael Estevam,None,flyweight
Aliaskhab Khizriev,None,middleweight
Nurullo Aliev,None,lightweight
Adrian Yanez,None,bantamweight
Claudio Puelles,None,lightweight
Ketlen Vieira,None,women's bantamweight
Raoni Barcelos,None,bantamweight
Loik Radzhabov,None,lightweight
Andre Fili,None,featherweight
Charles Jourdain,None,"bantamweight, featherweight, lightweight"
Trey Waters,None,welterweight
Brad Tavares,None,middleweight
Max Griffin,None,welterweight
Matt Frevola,None,lightweight
Sodiq Yusuff,None,featherweight
Tracy Cortez,None,women's flyweight
Alexander Gustafsson,None,light heavyweight
Douglas Silva de Andrade,None,"bantamweight, featherweight"
Javid Basharat,None,bantamweight
Jeremiah Wells,None,welterweight
Alex Perez,None,flyweight
Anthony Smith,None,light heavyweight
Alex Caceres,None,featherweight
Irene Aldana,None,women's bantamweight
Macy Chiasson,None,women's bantamweight
Miranda Maverick,None,women's flyweight
Tabatha Ricci,None,"women's strawweight, women's flyweight"
Iasmin Lucindo,None,women's strawweight
Jessica Andrade,None,"women's strawweight, women's flyweight"
Manuel Torres,None,lightweight
Holly Holm,None,women's bantamweight
MarQuel Mederos,None,lightweight
Vince Morales,None,bantamweight
Thiago Moises,None,lightweight
Jaqueline Amorim,None,women's strawweight
Matt Brown,None,welterweight
Steve Erceg,None,flyweight
Ryan Loder,None,middleweight
Allan Nascimento,None,flyweight
John Castaneda,None,bantamweight
Da'Mon Blackshear,None,bantamweight
Pedro Munhoz,None,bantamweight
Josefine Knutsson,None,women's strawweight
Mackenzie Dern,None,women's strawweight
Nate Landwehr,None,featherweight
Morgan Charriere,None,featherweight
Cesar Almeida,None,middleweight
Victor Hugo,None,"bantamweight, featherweight"
Ibo Aslan,None,light heavyweight
Rodolfo Bellato,None,light heavyweight
Clayton Carpenter,None,flyweight
Nikolas Motta,None,lightweight
Michael Johnson,None,lightweight
Gillian Robertson,None,women's strawweight
Chris Duncan,None,lightweight
Katlyn Cerminara,None,women's flyweight
Alatengheili,None,bantamweight
Gabriel Santos,None,featherweight
Jack Jenkins,None,featherweight
Alexander Hernandez,None,"featherweight, lightweight"
Dustin Stoltzfus,None,middleweight
Ricky Simon,None,bantamweight
Raul Rosas Jr.,None,bantamweight
Al Iaquinta,None,lightweight
Andre Petroski,None,middleweight
Melsik Baghdasaryan,None,featherweight
Jhonata Diniz,None,heavyweight
Chris Weidman,None,middleweight
Themba Gorimbo,None,welterweight
Christian Leroy Duncan,None,middleweight
Phil Rowe,None,welterweight
Rinya Nakamura,None,bantamweight
Karine Silva,None,women's flyweight
Paul Craig,None,"middleweight, light heavyweight"
Joe Solecki,None,lightweight
Jafel Filho,None,flyweight
Victor Henry,None,bantamweight
Melquizael Costa,None,"featherweight, lightweight"
Brunno Ferreira,None,middleweight
Muin Gafurov,None,bantamweight
Lone'er Kavanagh,None,flyweight
HyunSung Park,None,flyweight
Amanda Ribas,None,"women's strawweight, women's flyweight"
Dustin Jacoby,None,"middleweight, light heavyweight"
Vinc Pichel,None,lightweight
Kurt Holobaugh,None,"featherweight, lightweight"
Jesus Aguilar,None,flyweight
Xiao Long,None,bantamweight
Jai Herbert,None,lightweight
Charlie Campbell,None,lightweight
Ismail Naurdiev,None,"welterweight, middleweight"
Alessandro Costa,None,flyweight
Billy Quarantillo,None,featherweight
Roosevelt Roberts,None,lightweight
Fernando Padilla,None,featherweight
Drew Dober,None,lightweight
Loma Lookboonmee,None,women's strawweight
Brad Katona,None,"bantamweight, featherweight"
Luana Carolina,None,women's flyweight
Marina Rodriguez,None,women's strawweight
Andre Lima,None,flyweight
Jamall Emmers,None,featherweight
Abdul-Kareem Al-Selwady,None,lightweight
Muhammad Naimov,None,featherweight
Cody Haddon,None,bantamweight
Michal Oleksiejczuk,None,"middleweight, light heavyweight"
Angela Hill,None,women's strawweight
Austin Hubbard,None,lightweight
Joaquim Silva,None,lightweight
Ketlen Souza,None,"women's strawweight, women's flyweight"
Nazim Sadykhov,None,lightweight
Jacob Malkoun,None,middleweight
Ion Cutelaba,None,light heavyweight
Danny Barlow,None,welterweight
Alex Morono,None,welterweight
SuYoung You,None,bantamweight
Brady Hiestand,None,bantamweight
Kevin Jousset,None,welterweight
Ronaldo Rodriguez,None,flyweight
Yana Santos,None,women's bantamweight
Tom Nolan,None,lightweight
Vagner Rocha,None,lightweight
Ange Loosa,None,welterweight
Armen Petrosyan,None,"middleweight, light heavyweight"
Tereza Bleda,None,"women's strawweight, women's flyweight"
Lucas Almeida,None,"featherweight, lightweight"
Sam Patterson,None,"lightweight, welterweight"
Jonny Parsons,None,welterweight
Christian Rodriguez,None,"bantamweight, featherweight"
Denise Gomes,None,women's strawweight
Tony Ferguson,None,"lightweight, welterweight"
Rani Yahya,None,bantamweight
Danny Silva,None,featherweight
Shi Ming,None,women's strawweight
Court McGee,None,welterweight
Isaac Dulgarian,None,featherweight
ChangHo Lee,None,bantamweight
Edmen Shahbazyan,None,middleweight
Yanal Ashmouz,None,lightweight
Brad Riddell,None,lightweight
Cody Durden,None,"flyweight, bantamweight"
Hakeem Dawodu,None,featherweight
Rhys McKee,None,welterweight
Charles Radtke,None,welterweight
Jose Johnson,None,"flyweight, bantamweight"
Ailin Perez,None,women's bantamweight
Martin Buday,None,heavyweight
Jimmy Crute,None,light heavyweight
Song Kenan,None,welterweight
Magomed Gadzhiyasulov,None,light heavyweight
Preston Parsons,None,welterweight
Sedriques Dumas,None,middleweight
JeongYeong Lee,None,featherweight
Ivan Erslan,None,light heavyweight
Elves Brener,None,lightweight
Mansur Abdul-Malik,None,middleweight
Ariane Carnelossi,None,"women's strawweight, women's flyweight"
Gavin Tucker,None,featherweight
Bassil Hafez,None,welterweight
Jonathan Pearce,None,"featherweight, lightweight"
Casey O'Neill,None,women's flyweight
Rongzhu,None,lightweight
Viacheslav Borshchev,None,lightweight
Punahele Soriano,None,"welterweight, middleweight"
Yizha,None,featherweight
Jordan Leavitt,None,lightweight
Zachary Reese,None,middleweight
Melissa Gatto,None,women's bantamweight
Karol Rosa,None,women's bantamweight
Abdul Razak Alhassan,None,middleweight
Jamal Pogues,None,"light heavyweight, heavyweight"
Miesha Tate,None,women's bantamweight
Nicolae Negumereanu,None,light heavyweight
Bill Algeo,None,featherweight
Jared Gooden,None,welterweight
Evan Elder,None,"lightweight, welterweight"
Nathan Fletcher,None,featherweight
Marcin Prachnio,None,light heavyweight
Justin Tafa,None,heavyweight
DongHun Choi,None,flyweight
Natan Levy,None,lightweight
Viktoriia Dudakova,None,women's strawweight
Valter Walker,None,heavyweight
Kaue Fernandes,None,lightweight
Niko Price,None,welterweight
Ricardo Ramos,None,featherweight
Cameron Smotherman,None,bantamweight
Bekzat Almakhan,None,bantamweight
Josh Culibao,None,"featherweight, lightweight"
Kaan Ofli,None,featherweight
Marc-Andre Barriault,None,middleweight
Francisco Prado,None,lightweight
Joe Lauzon,None,lightweight
Jacqueline Cavalcanti,None,women's bantamweight
Terrance McKinney,None,"featherweight, lightweight"
Gabe Green,None,welterweight
Eduarda Moura,None,"women's strawweight, women's flyweight"
Nora Cornolle,None,women's bantamweight
Serhiy Sidey,None,bantamweight
Ramon Taveras,None,bantamweight
Thomas Petersen,None,heavyweight
Bruna Brasil,None,"women's strawweight, women's flyweight"
Daniel Barez,None,flyweight
Gaston Bolanos,None,bantamweight
Jordan Vucenic,None,lightweight
Ottman Azaitar,None,lightweight
Robert Valentin,None,middleweight
Jimmy Flick,None,flyweight
Sam Hughes,None,women's strawweight
Don'Tale Mayes,None,heavyweight
Gabriella Fernandes,None,women's flyweight
Melissa Mullins,None,women's bantamweight
Kyung Ho Kang,None,bantamweight
Damir Hadzovic,None,lightweight
Warlley Alves,None,"welterweight, middleweight"
Ariane da Silva,None,women's flyweight
Austen Lane,None,heavyweight
Loopy Godinez,None,women's strawweight
Carlos Vera,None,bantamweight
Carlos Hernandez,None,flyweight
Julia Polastri,None,women's strawweight
Jamey-Lyn Horth,None,"women's flyweight, women's bantamweight"
Tresean Gore,None,middleweight
Billy Ray Goff,None,welterweight
Cristian Quinonez,None,bantamweight
SeungWoo Choi,None,featherweight
Tainara Lisboa,None,women's bantamweight
Azat Maksum,None,flyweight
Yazmin Jauregui,None,women's strawweight
Mayra Bueno Silva,None,"women's flyweight, women's bantamweight"
Mizuki,None,women's strawweight
Chelsea Chandler,None,women's bantamweight
Ihor Potieria,None,"middleweight, light heavyweight"
Cody Stamann,None,bantamweight
Cody Brundage,None,"middleweight, light heavyweight"
Jamie Mullarkey,None,lightweight
Adam Fugitt,None,welterweight
Ozzy Diaz,None,"middleweight, light heavyweight"
Shayilan Nuerdanbieke,None,featherweight
Felipe Bunes,None,flyweight
Ramiz Brahimaj,None,welterweight
Aoriqileng,None,"flyweight, bantamweight"
Tim Means,None,welterweight
Baergeng Jieleyisi,None,bantamweight
Cameron Saaiman,None,bantamweight
Trevin Giles,None,welterweight
Benardo Sopaj,None,bantamweight
Chad Anheliger,None,bantamweight
Stephanie Luciano,None,women's strawweight
Bolaji Oki,None,lightweight
Chris Barnett,None,heavyweight
Rafael Cerqueira,None,light heavyweight
Clay Guida,None,lightweight
CJ Vergara,None,flyweight
Lucas Rocha,None,"flyweight, bantamweight"
Dennis Buzukja,None,featherweight
Elise Reed,None,women's strawweight
Nyamjargal Tumendemberel,None,flyweight
Kron Gracie,None,featherweight
Caolan Loughran,None,bantamweight
Robert Bryczek,None,middleweight
Bruno Silva,None,middleweight
Antonina Shevchenko,None,women's flyweight
Francis Marshall,None,featherweight
James Llontop,None,lightweight
Feng Xiaocan,None,women's strawweight
Maryna Moroz,None,women's flyweight
Melissa Martinez,None,women's strawweight
Anshul Jubli,None,lightweight
Matt Schnell,None,"flyweight, bantamweight"
Michal Figlak,None,lightweight
Wellington Turman,None,middleweight
Junior Tafa,None,heavyweight
Stewart Nicoll,None,flyweight
Vanessa Demopoulos,None,women's strawweight
Garrett Armfield,None,"bantamweight, featherweight"
Gabriel Miranda,None,"featherweight, lightweight"
Mitch Ramirez,None,welterweight
Danny Roberts,None,welterweight
Lucas Alexander,None,featherweight
Kevin Borjas,None,flyweight
Lukasz Brzeski,None,heavyweight
Mitch Raposo,None,flyweight
Luan Lacerda,None,bantamweight
Landon Quinones,None,lightweight
Brendson Ribeiro,None,light heavyweight
Edgar Chairez,None,flyweight
Victor Martinez,None,lightweight
Josiane Nunes,None,women's bantamweight
Quang Le,None,bantamweight
Lando Vannata,None,lightweight
Hamdy Abdelwahab,None,heavyweight
Jose Ochoa,None,flyweight
Luana Santos,None,"women's flyweight, women's bantamweight"
Piera Rodriguez,None,women's strawweight
Ivana Petrovic,None,women's flyweight
Frankie Saenz,None,bantamweight
Wang Cong,None,women's flyweight
Erik Silva,None,featherweight
Dan Argueta,None,"bantamweight, featherweight"
Timmy Cuamba,None,featherweight
Matthew Semelsberger,None,welterweight
Puja Tomar,None,women's strawweight
Maheshate,None,lightweight
Felipe dos Santos,None,flyweight
Dione Barbosa,None,women's flyweight
Julia Avila,None,women's bantamweight
Dusko Todorovic,None,middleweight
Veronica Hardy,None,"women's flyweight, women's bantamweight"
JJ Aldrich,None,women's flyweight
Abu Azaitar,None,middleweight
Sumudaerji,None,"flyweight, bantamweight"
Luana Pinheiro,None,women's strawweight
Karolina Kowalkiewicz,None,women's strawweight
Julija Stoliarenko,None,
Montana De La Rosa,None,women's flyweight
Joselyne Edwards,None,women's bantamweight
Rolando Bedoya,None,"lightweight, welterweight"
Cheyanne Vlismas,None,women's strawweight
Mohammed Usman,None,heavyweight
Julian Marquez,None,middleweight
Steven Nguyen,None,featherweight
Trevor Peek,None,lightweight
Ode Osbourne,None,"flyweight, bantamweight"
Alex Reyes,None,"lightweight, welterweight"
Andrea Lee,None,women's flyweight
Dylan Budka,None,middleweight
Gilbert Urbina,None,"welterweight, middleweight"
Sheldon Westcott,None,welterweight
Rayanne dos Santos,None,women's strawweight
Roberto Romero,None,lightweight
Saimon Oliveira,None,bantamweight
Priscila Cachoeira,None,"women's flyweight, women's bantamweight"
SeungGuk Choi,None,flyweight
Klaudia Sygula,None,women's bantamweight
Molly McCann,None,"women's strawweight, women's flyweight"
Darrius Flowers,None,"lightweight, welterweight"
Shauna Bannon,None,women's strawweight
Cortavious Romious,None,bantamweight
Connor Matthews,None,featherweight
Daria Zhelezniakova,None,women's bantamweight
Ravena Oliveira,None,"women's strawweight, women's bantamweight"
Manolo Zecchini,None,lightweight
Pete Rodriguez,None,welterweight
Irina Alekseeva,None,women's bantamweight
Westin Wilson,None,featherweight
Polyana Viana,None,"women's strawweight, women's flyweight"
Hailey Cowan,None,women's bantamweight
Steven Koslow,None,bantamweight
Kiefer Crosbie,None,welterweight
Talita Alencar,None,women's strawweight
Ricky Turcios,None,bantamweight
Angel Pacheco,None,featherweight
Mohammad Yahya,None,lightweight
Mickey Gall,None,welterweight
Montserrat Rendon,None,women's bantamweight
Jose Daniel Medina,None,"middleweight, light heavyweight"
Antonio Trocoli,None,"middleweight, light heavyweight"
Toshiomi Kazama,None,bantamweight
Marnic Mann,None,women's strawweight
Sean Sharaf,None,heavyweight
Alice Ardelean,None,women's strawweight
Ernesta Kareckaite,None,women's flyweight
Carli Judice,None,women's flyweight
Yusaku Kinoshita,None,welterweight
Montserrat Conejo Ruiz,None,women's strawweight
Kiru Sahota,None,flyweight
Istela Nunes,None,women's strawweight
Diana Belbita,None,women's bantamweight
Brogan Walker,None,women's bantamweight
Juliana Miller,None,women's flyweight
Ricky Legere Jr.,None,welterweight
So Yul Kim,None,women's strawweight
Navajo Stirling,None,light heavyweight
